//id|editableType|itemCategory|actionType|hitsoundType|name|textureName|textureHash|itemKind|val1|textureX|textureY|spreadType|isStripeyWallpaper|collisionType|breakHits|dropChance|clothingType|rarity|maxAmount|extraFile|extraFileHash|audioVolume|petName|petPrefix|petSuffix|petAbility|seedBase|seedOverlay|treeBase|treeLeaves|seedColor|seedOverlayColor|unkval1|growTime|val2|isRayman|extraOptions|texture2|extraOptions2|punchOptions

version|14
item_count|11870


0|20|133|17|0|Blank|tiles_page1.rttex|91467596|0|-1|16|1|1|0|0|24|8|0|1|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
1|4|4|19|0|Blank Seed|tiles_page1.rttex|91467596|0|-1|16|1|1|0|0|120|2|0|1|200||0|400|||||0|0|0|0|27135|27135|0|31|0|0||||
2|0|0|17|0|Dirt|tiles_page1.rttex|91467596|0|-1|8|20|2|0|1|18|8|0|1|200|interface/large/store_buttons2.rttex|433625137|400|||||0|0|0|0|-1|-1|0|0|0|0||||
3|0|0|19|0|Dirt Seed|tiles_page1.rttex|91467596|0|-1|8|20|2|0|0|120|2|0|1|200||0|400|||||1|2|1|2|322527487|1383900927|0|31|0|0||||
4|0|0|16|0|Lava|tiles_page1.rttex|91467596|0|-1|4|6|5|0|1|24|8|0|1|200|game/player_puncharm.rttex|915211552|400|||||0|0|0|0|-1|-1|0|0|0|0||||
5|0|0|19|0|Lava Seed|tiles_page1.rttex|91467596|0|-1|4|6|5|0|0|120|2|0|1|200||0|400|||||2|4|2|4|287899647|716963839|0|31|0|0||||
6|20|4|13|0|Main Door|tiles_page1.rttex|91467596|0|-1|17|1|1|0|0|30|8|0|1|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
7|4|4|19|0|Main Door Seed|tiles_page1.rttex|91467596|0|-1|17|1|1|0|0|120|2|0|1|200||0|400|||||3|6|3|6|-606348289|500301823|0|31|0|0||||
8|20|4|15|2|Bedrock|tiles_page1.rttex|91467596|0|-1|0|26|2|0|1|24|8|0|1|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
9|4|4|19|2|Bedrock Seed|tiles_page1.rttex|91467596|0|-1|0|26|2|0|0|120|2|0|1|200||0|400|||||4|8|4|0|1507428863|1513875967|0|31|0|0||||
10|0|0|17|2|Rock|tiles_page1.rttex|91467596|0|-1|15|1|1|0|1|60|5|0|1|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
11|0|0|19|2|Rock Seed|tiles_page1.rttex|91467596|0|-1|15|1|1|0|0|120|2|0|1|200||0|400|||||5|10|5|2|-2139062017|-926365441|0|31|0|0||||
12|2|0|2|2|Door|tiles_page1.rttex|91467596|0|-1|14|1|1|0|0|30|8|0|2|200|interface/large/news_banner.rttex|-1306698311|100|||||0|0|0|0|-1|-1|0|0|0|0||||
13|0|0|19|2|Door Seed|tiles_page1.rttex|91467596|0|-1|14|1|1|0|0|120|2|0|2|200||0|400|||||6|12|6|4|946576127|500301823|0|68|0|0||||
14|0|0|18|0|Cave Background|tiles_page1.rttex|91467596|0|-1|24|26|2|0|0|18|4|0|1|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
15|0|0|19|0|Cave Background Seed|tiles_page1.rttex|91467596|0|-1|24|26|2|0|0|120|2|0|1|200||0|400|||||7|14|7|6|202710271|389499903|0|31|0|0||||
16|0|0|17|0|Grass|tiles_page1.rttex|91467596|0|-1|0|6|3|0|0|12|1|0|2|200|interface/large/store_buttons/store_buttons38.rttex|1080031113|200|||||0|0|0|0|-1|-1|0|0|0|0||||
17|0|0|19|0|Grass Seed|tiles_page1.rttex|91467596|0|-1|0|6|3|0|0|120|2|0|2|200||0|400|||||8|0|0|0|765282815|1507428351|0|68|0|0||||
18|0|128|0|0|Fist|tiles_page1.rttex|91467596|0|-1|11|1|1|0|1|24|8|0|999|0||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
19|0|0|19|0|Fist Seed|tiles_page1.rttex|91467596|0|-1|11|1|1|0|0|120|2|0|999|200||0|400|||||9|2|1|2|1042280703|-1240797697|0|3600|0|0||||
20|2|0|10|0|Sign|tiles_page1.rttex|91467596|0|-1|21|0|1|0|0|30|8|0|2|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
21|0|0|19|0|Sign Seed|tiles_page1.rttex|91467596|0|-1|21|0|1|0|0|120|2|0|2|200||0|400|||||10|4|2|4|1166908927|1958595839|0|68|0|0||||
